workload,N,first_q_median,first_q_min,first_q_max,avg_us_median
A,0,303.17,294.76,303.25,1.79
A,1,387.99,382.78,487.48,1.78
A,5,228.96,221.31,231.31,1.78
A,10,230.52,226.96,240.54,1.79
A,20,225.15,220.62,227.72,1.75
A,46,225.27,219.70,226.70,1.77
A,92,224.20,221.29,227.72,1.75
