op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
397,read,2,1,100,1623,0,0
398,read,7142,1,100,1944,0,0
399,read,77799,1,100,162686,1,0
400,read,6452,1,100,2124,0,0
401,read,254745,1,100,338546,2,0
402,read,117,1,100,1693,0,0
403,read,73394,1,100,2054,0,0
404,read,60,1,100,1603,0,0
405,read,1195,1,100,1694,0,0
406,read,68747,1,100,159520,1,0
407,read,5483,1,100,2565,0,0
408,read,13,1,100,1573,0,0
409,read,32,1,100,1563,0,0
410,read,370658,1,100,164219,1,0
411,read,122,1,100,1623,0,0
412,read,11892,1,100,2225,0,0
413,read,1,1,100,1523,0,0
414,read,265054,1,100,349787,2,0
415,read,65432,1,100,160863,1,0
416,read,255,1,100,1764,0,0
417,read,3287,1,100,1873,0,0
418,read,33620,1,100,165511,1,0
419,read,70,1,100,1663,0,0
420,read,34550,1,100,2184,0,0
421,read,387561,1,100,173616,1,0
422,read,23162,1,100,2775,0,1
423,read,34,1,100,1583,0,0
424,read,29,1,100,1562,0,0
425,read,1746,1,100,1904,0,0
426,read,15,1,100,1633,0,0
427,read,2995,1,100,2275,0,0
428,read,1,1,100,1542,0,0
429,read,6,1,100,1553,0,0
430,read,215,1,100,1563,0,0
431,read,187,1,100,1573,0,0
432,read,68,1,100,1583,0,0
433,read,154802,1,100,2575,0,1
434,read,206,1,100,1723,0,0
435,read,8,1,100,1543,0,0
436,read,165,1,100,1714,0,0
437,read,95,1,100,1644,0,0
438,read,2,1,100,1553,0,0
439,read,11027,1,100,1944,0,0
440,read,269229,1,100,170341,1,0
441,read,766,1,100,1784,0,0
442,read,6459,1,100,2094,0,0
443,read,744,1,100,2295,0,0
444,read,1,1,100,1523,0,0
445,read,4,1,100,1553,0,0
446,read,1167,1,100,2014,0,0
447,read,3686,1,100,2034,0,0
448,read,127921,1,100,180770,1,0
449,read,88377,1,100,167043,1,0
450,read,41919,1,100,168707,1,0
451,read,676,1,100,1894,0,0
452,read,208031,1,100,343585,2,0
453,read,1,1,100,1603,0,0
454,read,272,1,100,1583,0,0
455,read,87,1,100,1643,0,0
456,read,26,1,100,1573,0,0
457,read,5,1,100,1583,0,0
458,read,444,1,100,1723,0,0
459,read,6,1,100,1553,0,0
460,read,2470,1,100,1934,0,0
461,read,247270,1,100,166754,1,0
462,read,493077,1,100,169729,1,0
463,read,34341,1,100,2175,0,0
464,read,72730,1,100,161614,1,0
465,read,6,1,100,1623,0,0
466,read,56320,1,100,161533,1,0
467,read,1,1,100,1623,0,0
468,read,59,1,100,1583,0,0
469,read,148472,1,100,168807,1,0
470,read,1582,1,100,1954,0,0
471,read,2,1,100,1553,0,0
472,read,3226,1,100,1894,0,0
473,read,430283,1,100,170851,1,0
474,read,127842,1,100,2234,0,0
475,read,3978,1,100,1703,0,0
476,read,14,1,100,1552,0,0
477,read,524312,1,100,162846,1,0
478,read,6239,1,100,2014,0,0
479,read,601,1,100,1633,0,0
480,read,6896,1,100,1963,0,0
481,read,11,1,100,1573,0,0
482,read,49818,1,100,158258,1,0
483,read,1029,1,100,1824,0,0
484,read,366636,1,100,151564,1,0
485,read,19441,1,100,162155,1,0
486,read,24,1,100,1643,0,0
487,read,45,1,100,1573,0,0
488,read,26,1,100,1593,0,0
489,read,19388,1,100,2044,0,0
490,read,329820,1,100,2435,0,0
491,read,903,1,100,1714,0,0
492,read,1,1,100,1553,0,0
493,read,12968,1,100,2094,0,0
494,read,1,1,100,1523,0,0
495,read,99767,1,100,170932,1,0
496,read,4,1,100,1624,0,0
497,read,20627,1,100,2255,0,0
498,read,2,1,100,1563,0,0
499,read,161,1,100,1643,0,0
500,read,57,1,100,1563,0,0
501,read,4701,1,100,2033,0,0
502,read,2878,1,100,1934,0,0
503,read,4,1,100,1553,0,0
504,read,2,1,100,1533,0,0
505,read,14,1,100,1553,0,0
506,read,381,1,100,1843,0,0
507,read,279748,1,100,169499,1,0
508,read,141590,1,100,176502,1,0
509,read,11,1,100,1633,0,0
510,read,884,1,100,1833,0,0
511,read,5,1,100,1543,0,0
512,read,22776,1,100,2585,0,1
513,read,86,1,100,1633,0,0
514,read,361,1,100,1623,0,0
515,read,1511,1,100,2134,0,0
516,read,11,1,100,2044,0,0
517,read,31601,1,100,2224,0,0
518,read,655,1,100,1673,0,0
519,read,3407,1,100,1663,0,0
520,read,150032,1,100,272252,1,0
521,read,4,1,100,19136,0,0
522,read,127193,1,100,194996,1,0
