workload,N,rep,first_query_us,avg_us,majflt,minflt
A,51,2,232.12,2.09,176,277
A,51,3,164.06,2.07,176,277
A,52,1,174.47,2.08,176,276
A,52,2,175.07,2.08,176,276
A,52,3,178.43,2.06,176,276
A,53,1,165.91,2.07,176,277
A,53,2,166.30,2.10,176,276
A,53,3,173.22,2.09,176,276
A,54,1,166.92,2.06,176,277
A,54,2,169.97,2.07,176,276
A,54,3,170.19,2.08,176,277
A,55,1,163.73,2.11,176,276
A,55,2,185.74,2.08,176,276
A,55,3,202.97,2.09,176,276
A,56,1,174.99,2.07,176,276
A,56,2,166.75,2.05,176,276
A,56,3,171.42,2.09,176,276
A,57,1,220.74,2.09,176,276
A,57,2,176.19,2.12,176,276
A,57,3,186.87,2.09,176,276
A,58,1,169.84,2.11,176,277
A,58,2,165.58,2.05,176,277
A,58,3,161.30,2.10,176,276
A,59,1,171.63,2.07,176,276
A,59,2,171.50,2.09,176,276
A,59,3,174.31,2.07,176,276
A,60,1,162.90,2.07,176,276
A,60,2,163.94,2.06,176,276
A,60,3,158.90,2.12,176,276
A,61,1,176.89,2.09,176,276
A,61,2,191.21,2.09,176,276
A,61,3,165.34,2.09,176,276
A,62,1,182.70,2.09,176,276
A,62,2,221.38,2.09,176,276
A,62,3,197.23,2.07,176,276
A,63,1,181.08,2.08,176,276
A,63,2,183.26,2.00,176,276
A,63,3,186.69,2.01,176,276
A,64,1,234.35,2.03,176,276
A,64,2,178.21,2.01,176,276
A,64,3,172.54,2.02,176,276
A,65,1,177.35,2.02,176,276
A,65,2,210.82,2.05,176,276
A,65,3,187.29,2.03,176,276
A,66,1,231.82,2.04,176,276
A,66,2,226.44,2.02,176,276
A,66,3,160.37,2.01,176,276
A,67,1,172.56,2.02,176,276
A,67,2,164.98,2.06,176,276
A,67,3,174.05,2.05,176,277
A,68,1,167.81,2.00,176,276
A,68,2,173.91,2.03,176,276
A,68,3,167.22,2.04,176,276
A,69,1,173.58,2.03,176,276
A,69,2,162.45,2.04,176,277
A,69,3,175.35,2.02,176,276
A,70,1,214.21,2.11,176,276
A,70,2,175.39,2.07,176,276
A,70,3,174.34,2.07,176,276
