workload,N,rep,first_query_us,avg_us,majflt,minflt
A,51,2,332.58,2.08,178,284
A,51,3,346.98,2.01,178,283
A,52,1,299.68,2.01,178,283
A,52,2,290.22,2.06,178,283
A,52,3,302.87,2.04,178,283
A,53,1,298.16,2.03,178,283
A,53,2,347.96,2.02,178,284
A,53,3,290.38,2.00,178,283
A,54,1,294.01,2.05,178,283
A,54,2,303.41,2.03,178,283
A,54,3,294.88,2.00,178,283
A,55,1,349.02,2.00,178,283
A,55,2,343.83,2.03,178,283
A,55,3,345.81,2.01,178,283
A,56,1,356.22,2.03,178,284
A,56,2,345.20,2.02,178,283
A,56,3,288.91,2.03,178,283
A,57,1,292.93,2.09,178,283
A,57,2,299.60,2.03,178,283
A,57,3,360.02,1.99,178,283
A,58,1,340.79,2.00,178,283
A,58,2,334.36,2.03,178,283
A,58,3,346.27,2.04,178,283
A,59,1,355.39,2.02,178,283
A,59,2,338.94,2.01,178,283
A,59,3,288.94,2.06,178,283
A,60,1,333.84,2.02,178,283
A,60,2,339.33,2.04,178,283
A,60,3,331.72,2.01,178,283
A,61,1,340.49,2.04,178,283
A,61,2,343.07,2.02,178,283
A,61,3,338.89,2.02,178,283
A,62,1,358.67,2.02,178,283
A,62,2,335.69,2.01,178,284
A,62,3,365.57,2.05,178,283
A,63,1,341.04,2.03,178,283
A,63,2,288.18,2.03,178,283
A,63,3,354.25,2.03,178,283
A,64,1,300.20,2.01,178,283
A,64,2,331.20,2.02,178,283
A,64,3,338.94,2.03,178,283
A,65,1,339.33,2.03,178,283
A,65,2,375.49,2.03,178,283
A,65,3,302.22,2.02,178,283
A,66,1,349.16,2.00,178,283
A,66,2,289.60,2.01,178,283
A,66,3,294.08,2.03,178,284
A,67,1,348.69,2.03,178,284
A,67,2,294.57,2.07,178,283
A,67,3,339.24,2.04,178,283
A,68,1,344.81,2.02,178,283
A,68,2,368.32,2.02,178,283
A,68,3,330.62,2.04,178,284
A,69,1,351.37,2.01,178,283
A,69,2,341.09,2.05,178,283
A,69,3,342.33,2.00,178,283
A,70,1,337.63,2.09,178,284
A,70,2,339.35,2.00,178,283
A,70,3,341.32,2.02,178,283
A,71,1,341.46,2.03,178,283
A,71,2,296.66,2.01,178,282
A,71,3,293.36,1.99,178,283
A,72,1,335.98,2.00,178,283
A,72,2,287.16,2.03,178,283
A,72,3,306.52,2.00,178,283
A,73,1,294.22,1.98,178,283
A,73,2,295.17,2.00,178,283
A,73,3,297.98,2.00,178,283
A,74,1,298.60,2.06,178,283
A,74,2,302.02,1.99,178,283
A,74,3,292.96,1.99,178,283
A,75,1,348.96,2.04,178,283
A,75,2,341.79,2.01,178,283
A,75,3,340.35,2.03,178,283
A,76,1,301.04,2.00,178,283
A,76,2,331.34,2.02,178,283
A,76,3,387.65,2.03,178,283
A,77,1,341.47,2.02,178,283
A,77,2,340.65,2.01,178,283
A,77,3,297.39,2.01,178,283
A,78,1,292.02,2.01,178,283
A,78,2,300.52,2.03,178,283
A,78,3,349.01,2.01,178,283
A,79,1,334.84,2.02,178,283
A,79,2,328.98,2.04,178,283
A,79,3,355.38,2.03,178,283
A,80,1,352.42,2.03,178,283
A,80,2,344.71,2.02,178,283
A,80,3,295.82,2.04,178,283
A,81,1,330.72,2.05,178,284
A,81,2,298.26,2.04,178,284
A,81,3,334.88,2.02,178,283
A,82,1,346.24,2.02,178,283
A,82,2,293.59,2.02,178,283
A,82,3,355.67,2.02,178,283
A,83,1,345.16,2.09,178,283
A,83,2,295.18,2.02,178,283
A,83,3,292.28,2.05,178,283
A,84,1,345.91,2.02,178,283
A,84,2,338.97,2.08,178,283
A,84,3,304.19,2.01,178,283
A,85,1,295.06,2.06,178,283
A,85,2,341.57,2.13,178,284
A,85,3,350.30,2.05,178,283
A,86,1,340.06,2.01,178,283
A,86,2,339.26,2.03,178,283
A,86,3,335.02,2.04,178,283
A,87,1,300.51,2.04,178,283
A,87,2,295.29,2.07,178,284
A,87,3,339.37,2.04,178,283
A,88,1,290.91,2.08,178,283
A,88,2,320.93,2.03,178,283
A,88,3,336.23,2.07,178,283
A,89,1,343.95,2.03,178,283
A,89,2,297.92,2.04,178,283
A,89,3,352.72,2.08,178,283
A,90,1,293.34,2.08,178,283
A,90,2,351.42,2.04,178,283
A,90,3,343.12,2.07,178,283
A,91,1,344.91,2.07,178,283
A,91,2,296.81,2.07,178,283
A,91,3,297.07,2.04,178,283
A,92,1,321.81,2.07,178,283
A,92,2,343.95,2.05,178,283
A,92,3,345.47,2.05,178,284
B,0,1,831.50,2.12,181,273
B,0,2,729.29,2.11,181,273
B,0,3,727.75,2.12,181,273
B,1,1,650.45,2.11,182,272
B,1,2,662.01,2.12,182,271
B,1,3,658.75,2.13,182,272
B,2,1,667.12,2.18,182,271
B,2,2,666.18,2.13,182,271
B,2,3,658.24,2.13,182,272
B,3,1,652.23,2.06,182,271
B,3,2,639.71,2.11,182,271
B,3,3,635.14,2.08,182,271
B,4,1,353.65,2.12,182,272
B,4,2,347.91,2.11,182,273
B,4,3,346.53,2.15,182,272
B,5,1,358.65,2.14,182,272
B,5,2,350.78,2.18,182,272
B,5,3,349.14,2.16,182,272
B,6,1,352.38,2.09,182,270
B,6,2,333.94,2.16,182,270
B,6,3,342.84,2.10,182,270
B,7,1,348.71,2.13,182,270
B,7,2,345.23,2.19,182,270
B,7,3,350.44,2.13,182,270
B,8,1,353.11,2.19,182,270
B,8,2,348.13,2.16,182,270
B,8,3,350.67,2.14,182,270
B,9,1,349.47,2.14,182,270
B,9,2,350.09,2.18,182,270
B,9,3,346.63,2.13,182,270
B,10,1,358.91,2.13,182,270
B,10,2,351.12,2.13,182,270
B,10,3,352.04,2.14,182,270
B,11,1,358.32,2.16,182,271
B,11,2,353.00,2.14,182,271
B,11,3,353.35,2.13,182,271
B,12,1,348.79,2.11,182,270
B,12,2,346.15,2.17,182,270
B,12,3,349.14,2.13,182,270
B,13,1,343.25,2.13,183,272
B,13,2,367.38,2.13,183,273
B,13,3,346.76,2.12,183,272
B,14,1,352.11,2.13,183,273
B,14,2,349.19,2.14,183,272
B,14,3,354.90,2.13,183,273
B,15,1,403.15,2.14,183,273
B,15,2,350.25,2.13,183,273
B,15,3,348.26,2.11,183,272
B,16,1,349.10,2.15,183,275
B,16,2,345.87,2.18,183,275
B,16,3,335.88,2.19,183,275
B,17,1,356.17,2.18,182,276
B,17,2,352.40,2.17,182,277
B,17,3,348.88,2.11,182,277
B,18,1,355.13,2.15,181,278
B,18,2,353.74,2.20,181,278
B,18,3,353.96,2.13,181,278
B,19,1,358.74,2.11,181,277
B,19,2,349.30,2.11,181,278
B,19,3,351.45,2.15,181,278
