workload,N,rep,first_query_us,avg_us,majflt,minflt
A,51,2,483.02,1.94,142,230
A,51,3,492.58,1.93,142,229
A,52,1,488.69,1.95,142,228
A,52,2,497.31,1.94,142,229
A,52,3,486.69,1.94,142,229
A,53,1,493.41,1.94,142,229
A,53,2,485.16,1.99,142,229
A,53,3,483.12,1.94,142,229
A,54,1,422.64,1.94,142,229
A,54,2,418.64,1.91,142,229
A,54,3,423.95,1.92,142,230
A,55,1,436.27,1.90,142,229
A,55,2,480.17,1.90,142,229
A,55,3,422.61,1.91,142,229
A,56,1,425.97,1.91,142,229
A,56,2,427.11,1.91,142,229
A,56,3,487.29,1.90,142,229
A,57,1,486.69,1.90,142,229
A,57,2,426.49,1.94,142,229
A,57,3,436.39,1.91,142,229
A,58,1,429.24,1.90,142,229
A,58,2,481.46,1.89,142,229
A,58,3,427.12,1.91,142,229
A,59,1,430.55,1.89,142,229
A,59,2,423.84,1.94,142,229
A,59,3,496.42,1.90,142,229
A,60,1,480.66,1.92,142,229
A,60,2,434.79,1.90,142,229
A,60,3,483.33,1.96,142,229
A,61,1,428.13,1.92,142,229
A,61,2,426.03,1.92,142,229
A,61,3,493.71,1.91,142,229
A,62,1,414.20,1.91,142,229
A,62,2,420.35,1.89,142,230
A,62,3,520.32,1.89,142,229
A,63,1,487.40,1.91,142,229
A,63,2,430.07,1.91,142,229
A,63,3,424.22,1.89,142,229
A,64,1,427.89,1.90,142,229
A,64,2,483.86,1.94,142,229
A,64,3,427.08,1.91,142,230
A,65,1,425.92,1.92,142,230
A,65,2,420.74,1.91,142,229
A,65,3,477.86,1.91,142,229
A,66,1,422.99,1.92,142,229
A,66,2,419.84,1.90,142,229
A,66,3,423.44,1.92,142,229
A,67,1,425.49,1.89,142,229
A,67,2,424.45,1.95,142,229
A,67,3,488.80,1.94,142,229
A,68,1,488.02,1.95,142,230
A,68,2,487.67,1.92,142,229
A,68,3,481.18,1.99,142,229
A,69,1,477.96,1.95,142,229
A,69,2,488.21,1.95,142,229
A,69,3,485.16,1.96,142,229
A,70,1,486.68,1.99,142,229
A,70,2,480.06,1.96,142,229
A,70,3,482.26,1.94,142,229
A,71,1,485.23,1.95,142,229
A,71,2,482.21,1.96,142,229
A,71,3,486.80,1.95,142,229
A,72,1,480.50,1.95,142,229
A,72,2,528.92,1.92,142,230
A,72,3,486.15,1.96,142,229
A,73,1,482.74,1.96,142,229
A,73,2,482.53,1.94,142,229
A,73,3,486.95,1.95,142,229
A,74,1,479.88,1.96,142,229
A,74,2,812.19,1.91,142,229
A,74,3,488.13,1.97,142,229
A,75,1,479.61,1.95,142,229
A,75,2,476.35,1.91,142,229
A,75,3,479.89,1.97,142,229
A,76,1,486.82,1.94,142,229
A,76,2,490.41,1.93,142,229
A,76,3,485.87,2.01,142,230
A,77,1,488.52,1.97,142,229
A,77,2,489.50,1.95,142,229
A,77,3,487.48,1.96,142,229
A,78,1,475.73,1.94,142,229
A,78,2,479.86,1.97,142,229
A,78,3,493.30,1.95,142,229
A,79,1,481.79,1.96,142,229
A,79,2,483.97,1.94,142,229
A,79,3,486.14,1.96,142,229
A,80,1,477.08,1.95,142,229
A,80,2,482.23,1.97,142,229
A,80,3,480.63,1.95,142,229
A,81,1,480.30,1.95,142,229
A,81,2,490.63,1.90,142,229
A,81,3,491.75,1.92,142,229
A,82,1,487.82,1.93,142,229
A,82,2,483.57,1.94,142,229
A,82,3,497.56,1.91,142,229
A,83,1,483.61,1.94,142,229
A,83,2,481.62,1.91,142,230
A,83,3,481.15,1.95,142,229
A,84,1,494.83,1.92,142,229
A,84,2,483.43,1.94,142,229
A,84,3,492.29,1.96,142,230
A,85,1,486.99,1.93,142,229
A,85,2,484.78,1.98,142,230
A,85,3,490.03,1.97,142,229
A,86,1,481.62,1.95,142,229
A,86,2,490.07,1.97,142,229
A,86,3,484.55,1.98,142,229
A,87,1,483.23,1.98,142,229
A,87,2,484.37,1.99,142,229
A,87,3,487.37,1.96,142,229
A,88,1,494.14,1.93,142,229
A,88,2,481.50,1.94,142,229
A,88,3,484.73,1.95,142,229
A,89,1,486.39,1.97,142,229
A,89,2,482.67,1.98,142,229
A,89,3,485.48,1.97,142,229
A,90,1,482.29,1.93,142,229
A,90,2,482.73,1.97,142,229
A,90,3,489.66,1.97,142,229
A,91,1,488.57,1.97,142,229
A,91,2,489.63,1.93,142,229
A,91,3,494.43,1.95,142,229
A,92,1,486.35,1.96,142,229
A,92,2,487.37,1.96,142,229
A,92,3,480.79,1.94,142,229
B,0,1,936.44,2.04,144,237
B,0,2,924.63,2.06,144,237
B,0,3,935.92,2.07,144,237
B,1,1,842.25,2.06,144,236
B,1,2,838.86,2.03,144,235
B,1,3,834.62,2.02,144,235
B,2,1,837.99,2.01,144,235
B,2,2,834.10,2.03,144,236
B,2,3,848.49,2.00,144,235
B,3,1,838.42,2.06,144,235
B,3,2,844.29,2.03,144,235
B,3,3,859.00,2.02,144,235
B,4,1,447.24,2.04,144,236
B,4,2,443.47,2.05,144,236
B,4,3,435.85,2.04,144,236
B,5,1,451.90,2.00,143,235
B,5,2,437.32,2.03,143,236
B,5,3,438.12,2.00,143,235
B,6,1,437.19,2.00,143,233
B,6,2,455.92,2.03,143,234
B,6,3,434.35,1.99,143,233
B,7,1,445.30,2.04,144,233
B,7,2,450.76,2.01,144,233
B,7,3,445.04,2.03,144,233
B,8,1,436.46,2.04,144,232
B,8,2,445.06,2.03,144,232
B,8,3,435.39,2.00,144,232
B,9,1,443.59,2.00,144,233
B,9,2,444.31,2.06,144,233
B,9,3,439.06,2.02,144,233
B,10,1,505.57,2.02,145,235
B,10,2,450.86,1.99,145,235
B,10,3,446.63,2.00,145,235
B,11,1,441.01,2.03,146,234
B,11,2,505.39,2.06,146,234
B,11,3,504.71,2.05,146,234
B,12,1,445.94,1.97,145,235
B,12,2,430.84,1.98,145,236
B,12,3,433.64,1.99,145,235
B,13,1,442.18,1.99,145,235
B,13,2,441.89,2.00,145,235
B,13,3,435.51,1.99,145,235
B,14,1,439.49,2.03,145,235
B,14,2,442.81,2.00,145,235
B,14,3,431.36,1.99,145,236
B,15,1,445.41,2.00,145,236
B,15,2,435.27,2.02,145,235
B,15,3,437.23,2.00,145,235
B,16,1,438.69,2.00,145,235
B,16,2,441.44,2.01,145,235
B,16,3,437.98,2.02,145,235
B,17,1,434.97,1.98,145,235
B,17,2,430.17,2.03,145,235
B,17,3,439.20,1.99,145,235
B,18,1,434.77,2.00,145,235
B,18,2,435.84,1.99,145,235
B,18,3,434.39,2.00,145,235
B,19,1,438.96,1.99,145,235
B,19,2,472.50,2.00,145,235
B,19,3,452.73,2.00,145,235
B,20,1,440.97,2.02,145,235
B,20,2,443.43,2.02,145,235
B,20,3,437.79,2.03,145,235
B,21,1,445.16,1.97,145,235
B,21,2,432.12,1.96,145,235
B,21,3,443.55,1.99,145,235
B,22,1,443.94,2.00,145,235
B,22,2,449.42,1.98,145,236
B,22,3,436.13,2.01,145,235
B,23,1,442.14,2.03,145,235
B,23,2,436.11,2.02,145,235
B,23,3,439.81,2.01,145,235
B,24,1,441.05,2.02,145,235
B,24,2,439.78,2.03,145,235
B,24,3,441.76,1.99,145,235
B,25,1,447.45,2.00,145,235
B,25,2,442.14,2.01,145,235
B,25,3,438.72,2.02,145,235
B,26,1,457.48,1.99,145,235
B,26,2,431.79,1.98,145,235
B,26,3,429.31,2.03,145,236
B,27,1,433.14,1.99,145,235
B,27,2,446.77,2.00,145,235
B,27,3,441.11,2.01,145,235
B,28,1,443.04,2.00,145,235
B,28,2,435.42,1.98,145,235
B,28,3,430.98,2.00,145,236
B,29,1,444.73,1.99,145,235
B,29,2,436.41,2.00,145,235
B,29,3,440.23,2.01,145,235
B,30,1,445.34,1.99,145,235
B,30,2,445.39,2.08,145,235
B,30,3,443.88,2.01,145,235
B,31,1,443.21,1.96,145,235
B,31,2,443.33,1.99,145,235
B,31,3,438.07,1.98,145,235
B,32,1,444.07,2.00,145,235
B,32,2,446.69,2.02,145,235
B,32,3,439.21,2.02,145,235
B,33,1,453.38,2.00,145,235
B,33,2,438.76,2.02,145,235
B,33,3,489.66,1.99,145,235
B,34,1,441.60,2.00,145,236
B,34,2,434.61,2.00,145,236
B,34,3,497.29,2.02,145,236
B,35,1,434.97,1.97,145,235
B,35,2,447.67,1.99,145,235
B,35,3,435.67,2.01,145,235
B,36,1,459.14,2.03,145,235
B,36,2,442.01,2.04,145,235
B,36,3,444.23,2.02,145,235
B,37,1,432.20,2.01,145,235
B,37,2,460.04,2.03,145,235
B,37,3,431.53,2.01,145,235
B,38,1,438.90,2.03,145,236
B,38,2,435.47,2.00,145,235
B,38,3,446.20,1.99,145,236
B,39,1,443.35,2.00,145,236
B,39,2,446.08,2.01,145,235
B,39,3,439.58,2.01,145,235
B,40,1,454.88,2.02,145,235
B,40,2,444.19,2.01,145,235
B,40,3,440.21,2.08,145,235
B,41,1,442.32,2.02,145,235
B,41,2,442.03,1.99,145,236
B,41,3,436.72,1.98,145,235
B,42,1,439.44,1.99,145,235
B,42,2,445.49,1.99,145,235
B,42,3,437.80,2.03,145,235
B,43,1,445.18,2.00,145,235
B,43,2,434.92,2.03,145,235
B,43,3,442.63,2.01,145,236
B,44,1,449.43,1.95,145,235
B,44,2,455.75,1.96,145,235
B,44,3,439.70,1.95,145,235
B,45,1,437.03,1.99,145,235
B,45,2,443.29,1.97,145,236
B,45,3,450.43,2.00,145,235
B,46,1,438.17,2.02,145,235
B,46,2,438.64,1.99,145,235
B,46,3,444.12,1.97,145,235
B,47,1,450.31,2.00,145,236
B,47,2,442.28,2.01,145,235
B,47,3,435.98,1.99,145,235
B,48,1,440.32,2.02,145,235
B,48,2,453.76,2.01,145,235
B,48,3,438.52,2.02,145,235
B,49,1,451.78,2.01,145,235
B,49,2,444.25,2.03,145,235
B,49,3,444.84,2.00,145,235
B,50,1,440.68,2.00,145,235
B,50,2,443.92,1.98,145,235
B,50,3,443.60,1.99,145,235
B,51,1,439.95,2.00,145,235
B,51,2,440.75,2.00,145,235
B,51,3,445.81,2.01,145,235
