workload,db,strategy,mem_limit,rep,first_query_us,avg_us,majflt,minflt
A,ta,2d,none,4,129.44,1.77,176,275
A,ta,2e_K10,none,4,272.84,1.78,179,279
A,ta,2e_K50,none,4,251.19,1.80,180,295
A,ta,2e_K100,none,4,369.54,1.82,181,312
A,ta,2e_K500,none,4,152.31,1.81,178,389
A,ta,2f_SLRU,none,4,20.45,1.51,0,280
A,ta,base,none,5,406.15,1.79,177,276
A,ta,2d,none,5,131.66,1.78,176,275
A,ta,2e_K10,none,5,247.22,1.76,179,279
A,ta,2e_K50,none,5,250.36,1.78,180,294
A,ta,2e_K100,none,5,332.01,1.82,181,312
A,ta,2e_K500,none,5,86.55,1.81,178,390
A,ta,2f_SLRU,none,5,14.62,1.53,0,280
A,ta,base,none,6,408.78,1.76,177,276
A,ta,2d,none,6,128.38,1.77,176,275
A,ta,2e_K10,none,6,254.55,1.77,179,279
A,ta,2e_K50,none,6,260.70,1.79,180,295
A,ta,2e_K100,none,6,474.41,1.82,181,313
A,ta,2e_K500,none,6,82.31,1.82,178,390
A,ta,2f_SLRU,none,6,15.88,1.54,0,281
B,orig,base,20M,1,464.52,1.91,221,381
B,orig,2d,20M,1,253.54,1.89,216,364
B,orig,2e_K10,20M,1,240.84,1.86,189,289
B,orig,2e_K50,20M,1,242.46,1.84,197,294
B,orig,2e_K100,20M,1,244.08,1.91,251,389
B,orig,2e_K500,20M,1,297.03,1.88,240,354
B,orig,2f_SLRU,20M,1,20.02,1.85,186,514
B,orig,base,20M,2,458.20,1.85,189,285
B,orig,2d,20M,2,247.37,1.83,188,284
B,orig,2e_K10,20M,2,251.61,1.83,190,290
B,orig,2e_K50,20M,2,262.07,1.91,238,353
B,orig,2e_K100,20M,2,257.94,1.93,250,392
B,orig,2e_K500,20M,2,283.34,1.89,228,349
B,orig,2f_SLRU,20M,2,17.23,1.85,179,492
B,orig,base,20M,3,463.73,1.85,189,284
B,orig,2d,20M,3,239.37,1.87,212,370
B,orig,2e_K10,20M,3,242.72,1.88,216,355
B,orig,2e_K50,20M,3,247.03,1.89,231,339
B,orig,2e_K100,20M,3,254.50,1.88,235,393
B,orig,2e_K500,20M,3,321.08,1.89,235,343
B,orig,2f_SLRU,20M,3,16.96,1.85,181,508
B,orig,base,20M,4,457.33,1.88,198,351
B,orig,2d,20M,4,234.65,1.82,187,287
B,orig,2e_K10,20M,4,244.42,1.83,190,289
B,orig,2e_K50,20M,4,311.85,1.90,194,288
B,orig,2e_K100,20M,4,252.94,1.86,206,303
