workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
Z,orig,layers_92,pread,128,2,0,0.00,100.00,219.32,8060.91,8280.23,1.43,1.00,11.00,0.31,55173948
Z,orig,layers_92,async,128,2,0,0.00,100.00,381.16,368.66,749.82,1.44,2.00,10.00,0.44,55180748
Z,orig,2d,pread,128,2,0,0.00,100.00,216.95,617.55,834.50,1.44,1.00,11.00,0.44,55198856
Z,orig,2d,async,128,2,0,0.00,100.00,427.24,240.05,667.29,1.45,2.00,10.00,0.44,55199372
Z,orig,2e_K10,pread,128,2,0,0.00,100.00,207.45,1024.15,1231.60,1.42,1.00,12.00,0.44,55199168
Z,orig,2e_K10,async,128,2,0,0.00,100.00,200.32,250.57,450.89,1.42,2.00,11.00,0.44,55199036
Z,orig,2e_K500,pread,128,2,0,0.00,100.00,199.31,1406.06,1605.37,1.42,0.00,10.00,0.44,55199216
Z,orig,2e_K500,async,128,2,0,0.00,31.60,202.37,277.06,479.43,1.42,0.00,10.00,0.44,55200556
Z,orig,2f_slru,pread,128,2,0,0.00,100.00,117.53,2310.51,2428.04,1.43,0.00,10.00,0.44,55199872
Z,orig,2f_slru,async,128,2,0,0.00,73.20,118.28,357.12,475.40,1.42,0.00,10.00,0.44,55200108
Z,vacuum,layers_5,pread,128,2,0,0.00,100.00,212.60,757.25,969.85,1.44,1.00,12.00,0.44,55200008
Z,vacuum,layers_5,async,128,2,0,0.00,100.00,570.15,241.48,811.63,1.43,1.00,11.00,0.44,55200332
Z,vacuum,layers_92,pread,128,2,0,0.00,100.00,212.61,7369.44,7582.05,1.42,1.00,12.00,0.44,55199672
Z,vacuum,layers_92,async,128,2,0,0.00,100.00,572.30,360.19,932.49,1.46,1.00,11.00,0.44,55200660
Z,vacuum,2d,pread,128,2,0,0.00,100.00,211.48,754.40,965.88,1.41,1.00,12.00,0.44,55201624
Z,vacuum,2d,async,128,2,0,0.00,100.00,511.90,240.82,752.72,1.43,1.00,11.00,0.44,55201616
Z,vacuum,2e_K10,pread,128,2,0,0.00,100.00,203.61,1013.20,1216.81,1.42,1.00,11.00,0.44,55201252
Z,vacuum,2e_K10,async,128,2,0,0.00,100.00,207.46,253.77,461.23,1.43,2.00,11.00,0.44,55201440
Z,vacuum,2e_K500,pread,128,2,0,0.00,100.00,205.98,1230.29,1436.27,1.43,0.00,10.00,0.44,55201040
Z,vacuum,2e_K500,async,128,2,0,0.00,57.90,202.96,276.98,479.94,1.43,0.00,10.00,0.44,55201840
Z,vacuum,2f_slru,pread,128,2,0,0.00,100.00,116.85,2020.41,2137.26,1.42,0.00,10.00,0.44,55201272
Z,vacuum,2f_slru,async,128,2,0,0.00,50.00,117.65,351.26,468.91,1.44,0.00,10.00,0.44,55201452
Z,ta,layers_5,pread,128,2,0,0.00,100.00,573.14,422.63,995.77,1.44,3.00,12.00,0.49,55201680
Z,ta,layers_5,async,128,2,0,0.00,100.00,597.77,240.63,838.40,1.45,3.00,12.00,0.49,55200736
Z,ta,layers_92,pread,128,2,0,0.00,100.00,207.87,1031.07,1238.94,1.43,1.00,10.00,0.49,55200092
Z,ta,layers_92,async,128,2,0,0.00,100.00,476.65,339.96,816.61,1.45,3.00,12.00,0.49,55201036
Z,ta,2d,pread,128,2,0,0.00,100.00,205.22,1023.92,1229.14,1.44,1.00,13.00,0.49,55177924
Z,ta,2d,async,128,2,0,0.00,68.90,464.61,279.95,744.56,1.44,3.00,12.00,0.49,55170896
Z,ta,2e_K10,pread,128,2,0,0.00,100.00,205.06,1043.48,1248.54,1.46,1.00,11.00,0.49,55189628
Z,ta,2e_K10,async,128,2,0,0.00,41.80,203.29,293.98,497.27,1.44,2.00,13.00,0.49,55189816
Z,ta,2e_K500,pread,128,2,0,0.00,100.00,208.70,1078.18,1286.88,1.43,0.00,11.00,0.49,55189120
Z,ta,2e_K500,async,128,2,0,0.00,62.80,202.67,318.02,520.69,1.45,0.00,11.00,0.49,55189664
Z,ta,2f_slru,pread,128,2,0,0.00,100.00,115.63,1495.48,1611.11,1.43,0.00,11.00,0.49,55189296
Z,ta,2f_slru,async,128,2,0,0.00,96.80,117.12,370.55,487.67,1.43,0.00,11.00,0.49,55189564
Z,orig,baseline,baseline,128,3,0,0.00,0.00,522.59,0.00,522.59,1.42,2.00,10.00,0.49,55190308
Z,vacuum,baseline,baseline,128,3,0,0.00,0.00,706.24,0.00,706.24,1.43,2.00,11.00,0.49,55190784
Z,ta,baseline,baseline,128,3,0,0.00,0.00,729.82,0.00,729.82,1.47,3.00,13.00,0.49,55190944
Z,orig,layers_5,pread,128,3,0,0.00,100.00,215.35,610.90,826.25,1.45,1.00,11.00,0.49,55189696
Z,orig,layers_5,async,128,3,0,0.00,100.00,384.07,242.98,627.05,1.44,2.00,10.00,0.49,55189456
