op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
1,scan,2299,50,5000,754828,2,10
2,scan,23812,50,5000,599757,1,0
3,scan,185977,50,5000,1099838,2,2
4,scan,29,50,5000,10029,0,0
5,scan,8,50,5000,4759,0,0
6,scan,3,50,5000,4118,0,0
7,scan,1,50,5000,3958,0,0
8,scan,5035,50,5000,402316,1,0
9,scan,28575,50,5000,774345,2,0
10,scan,2,50,5000,10630,0,0
11,scan,151694,50,5000,338887,2,0
12,scan,23408,50,5000,170280,1,0
13,scan,393300,50,5000,352663,2,0
14,scan,4758,50,5000,6402,0,1
15,scan,1,50,5000,4077,0,0
16,scan,1,50,5000,3928,0,0
17,scan,1811,50,5000,159290,1,0
18,scan,10873,50,5000,169057,1,1
19,scan,1557,50,5000,5881,0,1
20,scan,876,50,5000,176492,1,0
21,scan,6402,50,5000,182132,1,0
22,scan,3,50,5000,4168,0,0
23,scan,341,50,5000,134873,1,0
24,scan,5,50,5000,4007,0,0
25,scan,3015,50,5000,166223,1,0
26,scan,129151,50,5000,349928,2,1
27,scan,73044,50,5000,342754,2,0
28,scan,171836,50,5000,334038,2,0
29,scan,1234,50,5000,120246,1,0
30,scan,55973,50,5000,344327,2,0
31,scan,1,50,5000,4028,0,0
32,scan,34,50,5000,4017,0,0
33,scan,1057,50,5000,7314,0,1
34,scan,488844,50,5000,338507,2,0
35,scan,1,50,5000,4037,0,0
36,scan,26886,50,5000,169709,1,0
37,scan,149,50,5000,5680,0,0
38,scan,8,50,5000,3988,0,0
39,scan,173,50,5000,4389,0,0
40,scan,391,50,5000,5060,0,0
41,scan,38264,50,5000,329820,2,0
42,scan,317378,50,5000,329149,2,1
43,scan,96683,50,5000,344347,2,0
44,scan,150,50,5000,4178,0,0
45,scan,2928,50,5000,5591,0,0
46,scan,56,50,5000,4258,0,0
47,scan,16101,50,5000,5841,0,0
48,scan,1,50,5000,3988,0,0
49,scan,260,50,5000,4979,0,0
50,scan,57,50,5000,4037,0,0
51,scan,2583,50,5000,6242,0,1
52,scan,28951,50,5000,142047,1,1
53,scan,50,50,5000,4028,0,0
54,scan,2,50,5000,4007,0,0
55,scan,19,50,5000,3988,0,0
56,scan,1,50,5000,3948,0,0
57,scan,1338,50,5000,4869,0,0
58,scan,1,50,5000,3918,0,0
59,scan,240708,50,5000,341481,2,1
60,scan,1,50,5000,4288,0,0
61,scan,1,50,5000,3947,0,0
62,scan,20,50,5000,4048,0,0
63,scan,517083,50,5000,340680,2,0
64,scan,22,50,5000,4228,0,0
65,scan,21845,50,5000,169830,1,0
66,scan,5775,50,5000,165371,1,0
67,scan,10294,50,5000,168477,1,0
68,scan,9,50,5000,3998,0,0
69,scan,16590,50,5000,166082,1,0
70,scan,143816,50,5000,352312,2,0
71,scan,458944,50,5000,355538,2,1
72,scan,577236,50,5000,324820,2,0
73,scan,7,50,5000,4068,0,0
74,scan,1222,50,5000,4869,0,0
75,scan,1,50,5000,6031,0,0
76,scan,5987,50,5000,8967,0,1
77,scan,1,50,5000,3987,0,0
78,scan,11,50,5000,3947,0,0
79,scan,552492,50,5000,337825,2,0
80,scan,5,50,5000,4037,0,0
81,scan,2,50,5000,3958,0,0
82,scan,356307,50,5000,337565,2,0
83,scan,77,50,5000,4127,0,0
84,scan,436,50,5000,4579,0,0
85,scan,288,50,5000,4118,0,0
86,scan,3235,50,5000,5190,0,0
87,scan,216,50,5000,4117,0,0
88,scan,175359,50,5000,172805,1,0
89,scan,116500,50,5000,336192,2,1
90,scan,25202,50,5000,165221,1,0
91,scan,2,50,5000,3977,0,0
92,scan,1267,50,5000,4358,0,0
93,scan,345,50,5000,4749,0,0
94,scan,39257,50,5000,179858,1,0
95,scan,37,50,5000,4028,0,0
96,scan,30108,50,5000,165982,1,0
97,scan,8,50,5000,3978,0,0
98,scan,2767,50,5000,5510,0,0
99,scan,67,50,5000,3967,0,0
100,scan,430,50,5000,4388,0,0
101,scan,306884,50,5000,334900,2,0
102,scan,67,50,5000,4058,0,0
103,scan,3694,50,5000,176261,1,1
104,scan,4,50,5000,4017,0,0
105,scan,58,50,5000,4108,0,0
106,scan,1605,50,5000,5550,0,0
107,scan,2800,50,5000,4298,0,0
108,scan,1,50,5000,3927,0,0
109,scan,47092,50,5000,176852,1,0
110,scan,44,50,5000,4008,0,0
111,scan,3,50,5000,3998,0,0
112,scan,899,50,5000,4668,0,0
113,scan,699,50,5000,5761,0,0
114,scan,355150,50,5000,189145,1,1
115,scan,36960,50,5000,164239,1,0
116,scan,504,50,5000,5730,0,0
117,scan,175080,50,5000,6613,0,1
118,scan,4045,50,5000,160572,1,1
119,scan,1747,50,5000,5410,0,0
120,scan,26,50,5000,4098,0,0
121,scan,105470,50,5000,340170,2,0
122,scan,2286,50,5000,5710,0,0
123,scan,18,50,5000,4048,0,0
124,scan,37655,50,5000,166272,1,0
125,scan,2,50,5000,4017,0,0
126,scan,4,50,5000,3928,0,0
127,scan,4090,50,5000,4779,0,0
128,scan,16,50,5000,3998,0,0
129,scan,2326,50,5000,4237,0,0
130,scan,119472,50,5000,173005,1,0
131,scan,128,50,5000,4439,0,0
132,scan,5,50,5000,3968,0,0
133,scan,928,50,5000,4789,0,0
134,scan,14,50,5000,4077,0,0
135,scan,35,50,5000,3958,0,0
136,scan,135,50,5000,4178,0,0
137,scan,15757,50,5000,6332,0,1
138,scan,50672,50,5000,170871,1,0
139,scan,4496,50,5000,126858,1,0
140,scan,5,50,5000,4108,0,0
141,scan,245688,50,5000,340700,2,1
142,scan,158,50,5000,4127,0,0
143,scan,1155,50,5000,5751,0,0
144,scan,147,50,5000,4107,0,0
145,scan,621,50,5000,5020,0,0
146,scan,6732,50,5000,147287,1,1
147,scan,21736,50,5000,6452,0,1
148,scan,204952,50,5000,347132,2,0
149,scan,274,50,5000,4248,0,0
150,scan,92,50,5000,8065,0,0
151,scan,44917,50,5000,176141,1,0
152,scan,66798,50,5000,6672,0,0
153,scan,558,50,5000,4990,0,0
154,scan,92958,50,5000,175661,1,1
155,scan,3,50,5000,4208,0,0
156,scan,475,50,5000,4478,0,0
157,scan,34932,50,5000,179097,1,0
158,scan,340343,50,5000,323698,2,0
159,scan,5,50,5000,4067,0,0
160,scan,28049,50,5000,171012,1,0
161,scan,2,50,5000,4007,0,0
162,scan,302,50,5000,4138,0,0
163,scan,309537,50,5000,174178,1,0
164,scan,323,50,5000,4248,0,0
165,scan,56,50,5000,4078,0,0
166,scan,398376,50,5000,338947,2,0
167,scan,1,50,5000,4027,0,0
168,scan,2124,50,5000,5570,0,0
169,scan,5704,50,5000,5461,0,0
170,scan,2128,50,5000,4188,0,0
171,scan,44,50,5000,3957,0,0
172,scan,2744,50,5000,5100,0,0
173,scan,2032,50,5000,5861,0,0
174,scan,28822,50,5000,6122,0,0
175,scan,1,50,5000,3968,0,0
176,scan,2,50,5000,3967,0,0
177,scan,155,50,5000,4047,0,0
178,scan,72057,50,5000,174859,1,0
179,scan,1907,50,5000,5670,0,0
180,scan,3,50,5000,3927,0,0
181,scan,4,50,5000,3948,0,0
182,scan,1535,50,5000,5501,0,0
183,scan,217395,50,5000,349688,2,0
184,scan,452737,50,5000,376989,2,0
185,scan,258849,50,5000,359436,2,0
186,scan,1142,50,5000,6532,0,0
187,scan,165643,50,5000,339398,2,0
188,scan,5585,50,5000,7313,0,1
189,scan,1,50,5000,4038,0,0
190,scan,3,50,5000,3957,0,0
191,scan,10818,50,5000,5540,0,0
192,scan,11,50,5000,3927,0,0
193,scan,14205,50,5000,179818,1,0
194,scan,6,50,5000,3937,0,0
195,scan,80606,50,5000,346782,2,0
196,scan,2309,50,5000,4899,0,0
197,scan,3164,50,5000,7434,0,1
198,scan,50864,50,5000,17563,0,1
199,scan,197496,50,5000,169579,1,0
200,scan,1,50,5000,3947,0,0
