memory_condition,backend,strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,reference_mean,change_percent
unlimited,pread,range_interior,effective_first_query_latency_us,5,4880.402,4848.88,4838.57,4850.76,5029.22,4834.58,5029.22,4880.402,0.0
unlimited,pread,range_interior,average_latency_us,5,40.126,38.46,36.95,39.11,50.26,35.85,50.26,40.126,0.0
unlimited,pread,range_interior,major_page_faults,5,218.4,218.0,209.0,220.0,240.0,205.0,240.0,218.4,0.0
unlimited,pread,range_interior,minor_page_faults,5,106.0,105.0,104.0,108.0,111.0,102.0,111.0,106.0,0.0
unlimited,pread,range_interior,resident_after_cold_pages,5,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,0.0
unlimited,pread,range_interior,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,range_interior,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,offset_topk_interior_n5,prefetch_elapsed_us,5,247.0,314.0,129.0,326.0,338.0,128.0,338.0,247.0,0.0
unlimited,pread,offset_topk_interior_n5,first_query_latency_us,5,98.06,41.75,28.35,41.92,357.2,21.08,357.2,98.06,0.0
unlimited,pread,offset_topk_interior_n5,effective_first_query_latency_us,5,345.06,366.35,355.92,367.75,486.2,149.07999999999998,486.2,345.06,0.0
unlimited,pread,offset_topk_interior_n5,average_latency_us,5,44.410000000000004,43.92,42.52,45.25,48.61,41.75,48.61,44.410000000000004,0.0
unlimited,pread,offset_topk_interior_n5,major_page_faults,5,255.6,253.0,245.0,256.0,280.0,244.0,280.0,255.6,0.0
unlimited,pread,offset_topk_interior_n5,minor_page_faults,5,64.6,64.0,62.0,70.0,72.0,55.0,72.0,64.6,0.0
unlimited,pread,offset_topk_interior_n5,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
unlimited,pread,offset_topk_interior_n5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,offset_topk_interior_n5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,prefetch_elapsed_us,5,166.4,134.0,133.0,144.0,292.0,129.0,292.0,166.4,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,first_query_latency_us,5,113.33,36.07,35.39,36.29,433.94,24.96,433.94,113.33,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,effective_first_query_latency_us,5,279.73,180.07,170.29,316.96,562.94,168.39,562.94,279.73,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,average_latency_us,5,44.775999999999996,44.26,42.93,46.02,48.94,41.73,48.94,44.775999999999996,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,major_page_faults,5,255.6,253.0,245.0,256.0,280.0,244.0,280.0,255.6,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,minor_page_faults,5,64.6,64.0,62.0,70.0,72.0,55.0,72.0,64.6,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,resident_after_cold_pages,5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0
unlimited,pread,residency_topk_interior5_leaf0_i5_l0,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
