op_no,op_type,target_id,rows_returned,bytes_returned,elapsed_ns,majflt_delta,minflt_delta
421,read,171,1,100,1653,0,0
422,read,656,1,100,1803,0,0
423,read,112,1,100,1804,0,0
424,read,26358,1,100,165281,1,0
425,read,637,1,100,2084,0,0
426,read,3542,1,100,1774,0,0
427,read,311347,1,100,154841,1,0
428,read,104661,1,100,2034,0,0
429,read,84924,1,100,155021,1,0
430,read,1382,1,100,1813,0,0
431,read,12,1,100,1483,0,0
432,read,91622,1,100,169949,1,0
433,read,1,1,100,1573,0,0
434,read,61,1,100,1643,0,0
435,read,1748,1,100,2053,0,0
436,read,3231,1,100,1854,0,0
437,read,293261,1,100,162476,1,0
438,read,34,1,100,2003,0,0
439,read,8746,1,100,1854,0,0
440,read,4,1,100,1493,0,0
441,read,28,1,100,1503,0,0
442,read,468,1,100,1743,0,0
443,read,15282,1,100,3045,0,1
444,read,2,1,100,1483,0,0
445,read,14,1,100,1452,0,0
446,read,5,1,100,1453,0,0
447,read,32,1,100,1843,0,0
448,read,3000,1,100,1833,0,0
449,read,17,1,100,1453,0,0
450,read,9,1,100,1472,0,0
451,read,289,1,100,1833,0,0
452,read,43435,1,100,3547,0,1
453,read,223658,1,100,174999,1,0
454,read,2482,1,100,1754,0,0
455,read,1087,1,100,1694,0,0
456,read,4,1,100,1453,0,0
457,read,29046,1,100,5510,0,1
458,read,3772,1,100,2044,0,0
459,read,7,1,100,1463,0,0
460,read,5617,1,100,1853,0,0
461,read,74,1,100,1553,0,0
462,read,67,1,100,1553,0,0
463,read,2,1,100,1442,0,0
464,read,30,1,100,1523,0,0
465,read,1,1,100,1442,0,0
466,read,14,1,100,1463,0,0
467,read,4,1,100,1452,0,0
468,read,10009,1,100,2054,0,0
469,read,136,1,100,1513,0,0
470,read,5626,1,100,1814,0,0
471,read,174,1,100,1533,0,0
472,read,63490,1,100,2485,0,1
473,read,525200,1,100,332736,2,0
474,read,71714,1,100,169819,1,0
475,read,7,1,100,1543,0,0
476,read,6749,1,100,2034,0,0
477,read,127209,1,100,159279,1,0
478,read,466770,1,100,349267,2,0
479,read,13161,1,100,3307,0,1
480,read,430,1,100,1684,0,0
481,read,1719,1,100,1934,0,0
482,read,1065,1,100,1743,0,0
483,read,35,1,100,1533,0,0
484,read,48746,1,100,165331,1,0
485,read,16,1,100,1573,0,0
486,read,235,1,100,1623,0,0
487,read,6915,1,100,2024,0,0
488,read,1,1,100,1453,0,0
489,read,37,1,100,1503,0,0
490,read,358,1,100,1583,0,0
491,read,1,1,100,1443,0,0
492,read,4,1,100,1433,0,0
493,read,336218,1,100,178285,1,0
494,read,11948,1,100,2414,0,0
495,read,4656,1,100,1944,0,0
496,read,50,1,100,1562,0,0
497,read,992,1,100,2034,0,0
498,read,3455,1,100,1753,0,0
499,read,266,1,100,1653,0,0
500,read,3,1,100,1472,0,0
501,read,66,1,100,1523,0,0
502,read,82,1,100,1633,0,0
503,read,35,1,100,1452,0,0
504,read,4,1,100,1463,0,0
505,read,288049,1,100,170700,1,0
506,read,4249,1,100,1934,0,0
507,read,14964,1,100,1893,0,0
508,read,361313,1,100,161914,1,0
509,read,1034,1,100,1763,0,0
510,read,311726,1,100,139322,1,0
511,read,1124,1,100,1934,0,0
512,read,5,1,100,1483,0,0
513,read,238,1,100,1643,0,0
514,read,2276,1,100,1994,0,0
