workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
B,ta,2e_K500,async,5,128,622.86,794.63,525.02,112.23,26.7,976.58,1596.07,0.0
B,ta,2e_K500,pread,1,128,529.76,,529.76,0,100.0,16980.10,17509.86,0.0
B,ta,2f_slru,async,5,128,109.28,414.49,104.68,150.29,100.0,7591.42,7703.77,0.0
B,ta,2f_slru,pread,1,128,436.00,,436.00,0,97.6,17957.28,18393.28,0.0
B,ta,baseline,baseline,10,128,793.87,826.79,734.83,24.92,0.0,0.00,793.87,0.0
B,ta,layers_5,async,5,128,608.09,613.09,594.65,6.55,100.0,265.62,869.04,0.0
B,ta,layers_5,pread,1,128,596.70,,596.70,0,100.0,449.52,1046.22,0.0
B,ta,layers_92,async,5,128,585.11,596.60,579.88,6.24,33.7,376.67,963.62,0.0
B,ta,layers_92,pread,1,128,605.08,,605.08,0,100.0,1055.67,1660.75,0.0
B,vacuum,2d,async,5,128,510.70,516.39,466.06,18.82,100.0,280.36,797.39,0.0
B,vacuum,2d,pread,1,128,494.99,,494.99,0,100.0,1364.79,1859.78,0.0
B,vacuum,2e_K10,async,5,128,515.05,536.49,495.44,15.10,100.0,291.58,804.71,0.0
B,vacuum,2e_K10,pread,1,128,508.62,,508.62,0,100.0,2197.83,2706.45,0.0
B,vacuum,2e_K500,async,5,128,403.75,494.65,391.77,46.55,24.6,935.06,1354.87,0.0
B,vacuum,2e_K500,pread,1,128,477.83,,477.83,0,100.0,18867.55,19345.38,0.0
B,vacuum,2f_slru,async,5,128,104.07,108.33,100.71,2.72,100.0,5742.32,5843.03,0.0
B,vacuum,2f_slru,pread,1,128,109.88,,109.88,0,100.0,14227.95,14337.83,0.0
B,vacuum,baseline,baseline,10,128,1036.94,1103.53,1003.05,31.23,0.0,0.00,1036.94,0.0
B,vacuum,layers_5,async,5,128,509.77,512.56,505.40,2.92,100.0,267.66,774.82,0.0
B,vacuum,layers_5,pread,1,128,517.61,,517.61,0,100.0,791.04,1308.65,0.0
B,vacuum,layers_92,async,5,128,517.45,523.25,515.27,3.31,100.0,393.13,908.56,0.0
B,vacuum,layers_92,pread,1,128,523.08,,523.08,0,100.0,7780.41,8303.49,0.0
C,orig,2d,async,5,128,628.62,637.83,627.09,4.49,100.0,268.88,896.15,0.0
C,orig,2d,pread,1,128,633.52,,633.52,0,100.0,563.35,1196.87,0.0
C,orig,2e_K10,async,5,128,152.49,157.51,151.16,2.68,100.0,280.30,432.75,0.0
C,orig,2e_K10,pread,1,128,151.35,,151.35,0,100.0,1357.49,1508.84,0.0
C,orig,2e_K500,async,5,128,155.14,157.52,153.23,1.61,68.3,676.32,832.11,0.0
C,orig,2e_K500,pread,1,128,153.80,,153.80,0,100.0,2290.57,2444.37,0.0
C,orig,2f_slru,async,5,128,103.01,106.79,101.01,2.25,100.0,1018.43,1122.48,0.0
C,orig,2f_slru,pread,1,128,106.42,,106.42,0,100.0,2850.63,2957.05,0.0
C,orig,baseline,baseline,10,128,1057.28,1080.87,1032.18,15.32,0.0,0.00,1057.28,0.0
C,orig,layers_5,async,5,128,1015.74,1024.94,951.73,27.22,100.0,267.55,1281.37,0.0
C,orig,layers_5,pread,1,128,1011.04,,1011.04,0,100.0,634.68,1645.72,0.0
C,orig,layers_92,async,5,128,633.53,637.40,629.45,2.86,100.0,400.47,1034.00,0.0
C,orig,layers_92,pread,1,128,608.10,,608.10,0,100.0,8238.44,8846.54,0.0
C,ta,2d,async,5,128,480.21,482.34,461.61,7.68,64.6,269.11,750.74,0.0
C,ta,2d,pread,1,128,459.30,,459.30,0,100.0,1003.44,1462.74,0.0
C,ta,2e_K10,async,5,128,187.54,189.56,185.57,1.50,70.7,331.12,518.66,0.0
C,ta,2e_K10,pread,1,128,184.04,,184.04,0,100.0,2080.28,2264.32,0.0
C,ta,2e_K500,async,5,128,189.01,189.68,188.13,0.65,100.0,756.70,946.38,0.0
C,ta,2e_K500,pread,1,128,188.81,,188.81,0,100.0,3570.78,3759.59,0.0
C,ta,2f_slru,async,5,128,103.17,110.64,100.68,4.14,100.0,1080.76,1181.44,0.0
C,ta,2f_slru,pread,1,128,100.17,,100.17,0,100.0,3761.97,3862.14,0.0
C,ta,baseline,baseline,10,128,862.41,941.97,852.97,32.91,0.0,0.00,862.41,0.0
C,ta,layers_5,async,5,128,832.01,873.52,829.81,19.84,100.0,223.21,1063.79,0.0
C,ta,layers_5,pread,1,128,820.07,,820.07,0,100.0,399.03,1219.10,0.0
C,ta,layers_92,async,5,128,478.31,479.79,475.04,1.80,51.1,353.06,832.49,0.0
C,ta,layers_92,pread,1,128,503.02,,503.02,0,100.0,1062.02,1565.04,0.0
C,vacuum,2d,async,5,128,497.00,502.55,469.19,14.59,100.0,222.33,719.73,0.0
C,vacuum,2d,pread,1,128,472.06,,472.06,0,100.0,620.86,1092.92,0.0
C,vacuum,2e_K10,async,5,128,186.99,188.79,184.41,1.58,100.0,232.54,421.58,0.0
C,vacuum,2e_K10,pread,1,128,188.61,,188.61,0,100.0,1389.14,1577.75,0.0
C,vacuum,2e_K500,async,5,128,187.87,193.54,186.32,3.07,59.8,638.31,827.13,0.0
C,vacuum,2e_K500,pread,1,128,186.07,,186.07,0,100.0,2457.59,2643.66,0.0
C,vacuum,2f_slru,async,5,128,101.88,104.92,99.88,1.95,100.0,786.73,890.72,0.0
C,vacuum,2f_slru,pread,1,128,99.93,,99.93,0,100.0,3174.63,3274.56,0.0
C,vacuum,baseline,baseline,10,128,1000.77,1006.56,935.45,24.62,0.0,0.00,1000.77,0.0
C,vacuum,layers_5,async,5,128,863.08,900.71,834.92,27.44,100.0,299.07,1142.71,0.0
C,vacuum,layers_5,pread,1,128,874.36,,874.36,0,100.0,828.41,1702.77,0.0
C,vacuum,layers_92,async,5,128,501.72,505.70,473.89,13.29,100.0,345.29,850.48,0.0
C,vacuum,layers_92,pread,1,128,509.40,,509.40,0,100.0,7598.01,8107.41,0.0
