workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
B,orig,layers_5,pread,128,1,1,0.00,100.00,382.68,559.26,941.94,2.33,201.00,282.00,1.30,54013996
B,orig,layers_5,async,128,1,1,0.00,100.00,388.75,223.12,611.87,2.32,221.00,291.00,1.30,54013884
B,orig,layers_92,pread,128,1,1,0.00,100.00,391.78,8121.02,8512.80,2.38,201.00,302.00,1.30,53998248
B,orig,layers_92,async,128,1,1,0.00,100.00,373.63,359.97,733.60,2.43,241.00,315.00,1.30,53959184
B,orig,2d,pread,128,1,1,0.00,100.00,401.08,1851.61,2252.69,2.37,206.00,305.00,1.35,53966656
B,orig,2d,async,128,1,1,0.00,100.00,384.21,239.43,623.64,2.38,213.00,315.00,1.35,53965024
B,orig,2e_K10,pread,128,1,1,0.00,100.00,385.69,2836.48,3222.17,2.42,245.00,328.00,1.35,53966268
B,orig,2e_K10,async,128,1,1,0.00,100.00,395.07,249.77,644.84,2.34,195.00,290.00,1.35,53967116
B,orig,2e_K500,pread,128,1,1,0.00,100.00,406.14,19254.14,19660.28,2.30,217.00,423.00,1.35,53968196
B,orig,2e_K500,async,128,1,1,0.00,100.00,430.72,1181.09,1611.81,2.29,205.00,339.00,1.35,53969492
B,orig,2f_slru,pread,128,1,1,0.00,100.00,116.76,18472.95,18589.71,1.80,29.00,312.00,1.35,53967552
B,orig,2f_slru,async,128,1,1,0.00,98.90,200.53,7669.56,7870.09,2.26,176.00,503.00,1.35,53966496
B,vacuum,layers_5,pread,128,1,1,0.00,100.00,511.81,825.79,1337.60,2.14,142.00,238.00,1.35,53973848
B,vacuum,layers_5,async,128,1,1,0.00,100.00,510.46,321.37,831.83,2.18,143.00,235.00,1.35,53965656
B,vacuum,layers_92,pread,128,1,1,0.00,100.00,517.76,7786.52,8304.28,2.15,144.00,238.00,1.35,53969588
B,vacuum,layers_92,async,128,1,1,0.00,100.00,514.76,384.92,899.68,2.13,145.00,235.00,1.35,53988072
B,vacuum,2d,pread,128,1,1,0.00,100.00,514.47,1372.21,1886.68,2.15,144.00,238.00,1.35,53990416
B,vacuum,2d,async,128,1,1,0.00,100.00,516.63,291.04,807.67,2.16,145.00,235.00,1.35,53993492
B,vacuum,2e_K10,pread,128,1,1,0.00,100.00,549.55,2271.90,2821.45,2.15,144.00,241.00,1.35,53996748
B,vacuum,2e_K10,async,128,1,1,0.00,100.00,487.18,301.73,788.91,2.11,145.00,238.00,1.41,53997408
B,vacuum,2e_K500,pread,128,1,1,0.00,100.00,470.63,19430.53,19901.16,1.72,10.00,239.00,1.41,53997928
B,vacuum,2e_K500,async,128,1,1,0.00,29.50,400.99,956.81,1357.80,2.11,151.00,283.00,1.41,53997452
B,vacuum,2f_slru,pread,128,1,1,0.00,100.00,116.24,14117.22,14233.46,1.70,0.00,214.00,1.41,53998880
B,vacuum,2f_slru,async,128,1,1,0.00,100.00,106.02,5758.15,5864.17,1.72,0.00,214.00,1.41,54001212
B,ta,layers_5,pread,128,1,1,0.00,100.00,595.57,462.68,1058.25,2.34,206.00,302.00,1.41,54000892
B,ta,layers_5,async,128,1,1,0.00,100.00,602.55,280.93,883.48,2.39,211.00,312.00,1.41,54001548
B,ta,layers_92,pread,128,1,1,0.00,100.00,595.27,1070.29,1665.56,2.44,244.00,324.00,1.41,54003200
B,ta,layers_92,async,128,1,1,0.00,100.00,579.82,391.75,971.57,2.35,207.00,307.00,1.41,54002456
B,ta,2d,pread,128,1,1,0.00,100.00,569.14,1055.18,1624.32,2.34,204.00,303.00,1.41,54003552
B,ta,2d,async,128,1,1,0.00,77.50,586.12,321.98,908.10,2.35,204.00,300.00,1.41,54005896
B,ta,2e_K10,pread,128,1,1,0.00,100.00,604.02,2324.59,2928.61,2.36,207.00,290.00,1.41,54001336
B,ta,2e_K10,async,128,1,1,0.00,70.00,595.94,336.11,932.05,2.33,198.00,294.00,1.41,54003652
