backend,strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,baseline_mean,improvement_percent
madvise,residency_topk_interior5_leaf0_i5_l0,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
madvise,residency_topk_interior5_leaf5_i5_l5,prefetch_elapsed_us,5,7.2,7.0,6.0,8.0,9.0,6.0,9.0,,
madvise,residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,93.80199999999999,24.13,21.96,24.78,380.75,17.39,380.75,241.50799999999998,71.62390673522698
madvise,residency_topk_interior5_leaf5_i5_l5,first_query_improvement_percent,5,71.62390673522698,88.93996875697388,88.36186337378768,88.97267160223015,90.9290073548589,0.9160225882842746,90.9290073548589,241.50799999999998,71.62390673522698
madvise,residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,101.002,30.13,27.96,32.78,389.75,24.39,389.75,241.50799999999998,68.52673041230342
madvise,residency_topk_interior5_leaf5_i5_l5,effective_first_query_improvement_percent,5,68.52673041230342,85.36933720151751,85.18204462345645,86.23069189288,87.2776589640603,-1.4260806203971215,87.2776589640603,241.50799999999998,68.52673041230342
madvise,residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,46.5,43.54,43.19,46.68,56.04,43.05,56.04,45.242000000000004,-2.6827042198098523
madvise,residency_topk_interior5_leaf5_i5_l5,average_improvement_percent,5,-2.6827042198098523,-1.533018867924525,-1.8956236835946696,2.615558060879377,4.442169907881272,-17.042606516290718,4.442169907881272,45.242000000000004,-2.6827042198098523
madvise,residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,255.8,254.0,245.0,256.0,280.0,244.0,280.0,255.6,
madvise,residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,65.0,65.0,63.0,70.0,72.0,55.0,72.0,64.0,
madvise,residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,
madvise,residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
madvise,residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
pread,range_interior,prefetch_elapsed_us,5,4824.2,4828.0,4820.0,4829.0,4845.0,4799.0,4845.0,,
pread,range_interior,first_query_latency_us,5,56.202,21.76,20.88,35.58,184.22,18.57,184.22,241.50799999999998,80.84723062470542
pread,range_interior,first_query_improvement_percent,5,80.84723062470542,88.93423074884733,81.44071775076938,90.28788216915868,91.51357279956129,52.05974965519036,91.51357279956129,241.50799999999998,80.84723062470542
pread,range_interior,effective_first_query_latency_us,5,4880.402,4848.88,4838.57,4850.76,5029.22,4834.58,5029.22,241.50799999999998,-2055.319306729716
