scope,measurement_file,metric,sample_count,mean,median,p25,p75,p99,min,max,comparison_basis,improvement_percent
measurement,read_zipf_full_033.txt,average_latency_us,1,43.92,43.92,43.92,43.92,43.92,43.92,43.92,same-layout paired baseline,10.092118730808597
measurement,read_zipf_full_033.txt,average_improvement_percent,1,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,10.092118730808597,same-layout paired baseline,10.092118730808597
measurement,read_zipf_full_033.txt,major_page_faults,1,254.0,254.0,254.0,254.0,254.0,254.0,254.0,,
measurement,read_zipf_full_033.txt,minor_page_faults,1,72.0,72.0,72.0,72.0,72.0,72.0,72.0,,
measurement,read_zipf_full_033.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_033.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_033.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,prefetch_elapsed_us,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
measurement,read_zipf_full_036.txt,first_query_latency_us,1,17.09,17.09,17.09,17.09,17.09,17.09,17.09,same-layout paired baseline,90.9428162594732
measurement,read_zipf_full_036.txt,first_query_improvement_percent,1,90.9428162594732,90.9428162594732,90.9428162594732,90.9428162594732,90.9428162594732,90.9428162594732,90.9428162594732,same-layout paired baseline,90.9428162594732
measurement,read_zipf_full_036.txt,effective_first_query_latency_us,1,22.09,22.09,22.09,22.09,22.09,22.09,22.09,same-layout paired baseline,88.29296730086385
measurement,read_zipf_full_036.txt,effective_first_query_improvement_percent,1,88.29296730086385,88.29296730086385,88.29296730086385,88.29296730086385,88.29296730086385,88.29296730086385,88.29296730086385,same-layout paired baseline,88.29296730086385
measurement,read_zipf_full_036.txt,average_latency_us,1,41.97,41.97,41.97,41.97,41.97,41.97,41.97,same-layout paired baseline,1.014150943396226
measurement,read_zipf_full_036.txt,average_improvement_percent,1,1.014150943396226,1.014150943396226,1.014150943396226,1.014150943396226,1.014150943396226,1.014150943396226,1.014150943396226,same-layout paired baseline,1.014150943396226
measurement,read_zipf_full_036.txt,major_page_faults,1,245.0,245.0,245.0,245.0,245.0,245.0,245.0,,
measurement,read_zipf_full_036.txt,minor_page_faults,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,,
measurement,read_zipf_full_036.txt,resident_after_cold_pages,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
measurement,read_zipf_full_036.txt,requested_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
measurement,read_zipf_full_036.txt,successful_selected_resident_ratio,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,prefetch_elapsed_us,5,6.0,6.0,5.0,6.0,8.0,5.0,8.0,,
strategy,,first_query_latency_us,5,93.30199999999999,22.05,19.83,44.41,363.13,17.09,363.13,same-layout paired baseline,71.1592972496999
strategy,,first_query_improvement_percent,5,71.1592972496999,88.4982525689844,79.70478018462663,90.9428162594732,91.14929703191252,5.5013402035027426,91.14929703191252,same-layout paired baseline,71.1592972496999
strategy,,effective_first_query_latency_us,5,99.30199999999999,28.05,24.83,50.41,371.13,22.09,371.13,same-layout paired baseline,68.59228322948775
strategy,,effective_first_query_improvement_percent,5,68.59228322948775,85.3685253768713,76.96280047527648,88.29296730086385,88.9176523097523,3.419470684674834,88.9176523097523,same-layout paired baseline,68.59228322948775
strategy,,average_latency_us,5,44.29,43.92,42.27,44.12,49.17,41.97,49.17,same-layout paired baseline,2.001432628946848
strategy,,average_improvement_percent,5,2.001432628946848,1.014150943396226,0.5186020293122976,1.0765270301895478,10.092118730808597,-2.694235588972429,10.092118730808597,same-layout paired baseline,2.001432628946848
strategy,,major_page_faults,5,255.8,254.0,245.0,256.0,280.0,244.0,280.0,,
strategy,,minor_page_faults,5,65.0,64.0,63.0,70.0,72.0,56.0,72.0,,
strategy,,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,,
strategy,,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
strategy,,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
