experiment_id,cell_id,status,workload_type,layout,memory_condition,memory_limit_enabled,memory_max_bytes,strategy_key,backend,n,interior_k,leaf_k,measurement_file,repetition,selected_interior,selected_leaf,syscall_count,prefetch_elapsed_us,first_query_latency_us,average_latency_us,major_page_faults,minor_page_faults,resident_after_cold_pages,requested_selected_resident_ratio,successful_selected_resident_ratio
smoke,d6138fe7ce9b82becff8bc30e4ce36650cecf1109444ca3d6ed8497b6d0e9a96,completed,read_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,read_zipf_full_033.txt,1,5,0,5,129,357.2,43.92,253,72,21,1.0,1.0
smoke,25daef1de619b669a7ff6e628ceb7288c3b95af225c64c8d83bc3ee707a5df2a,completed,read_zipf_full,original,unlimited,false,,offset_topk_interior_n5,pread,5,,,read_zipf_full_036.txt,1,5,0,5,128,21.08,41.75,245,62,21,1.0,1.0
smoke,4a31b92e43c1fd10867ba3f6e9493483cffbd7b6b82d8b7e4bce35b57aabf269,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,read_zipf_full_034.txt,1,5,0,5,5,19.83,42.27,244,64,18,1.0,1.0
smoke,52a6a9085c45e5444422269148bf8005c4512abc1364121b9207075e9e1653f6,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,read_zipf_full_046.txt,1,5,0,5,6,44.41,44.12,256,70,18,1.0,1.0
smoke,6b445b73b0bfeff95997ce25cea2d12f1f818935b8b151fe6e7d2bfd7e016635,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,read_zipf_full_027.txt,1,5,0,5,6,22.05,49.17,280,56,18,1.0,1.0
smoke,5c2c68de3895fe4ac2dae0413dff570e50049f77a6444965a407e9804d3fa140,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,read_zipf_full_033.txt,1,5,0,5,8,363.13,43.92,254,72,18,1.0,1.0
smoke,5686ca22a759a02b30061574528f208e4cc76047f7241f400d977da4339575e0,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,madvise,,5,0,read_zipf_full_036.txt,1,5,0,5,5,17.09,41.97,245,63,18,1.0,1.0
smoke,474dc5bdf9371d51b9b81ebae374dad453cfab034bfa2249aedc8524bd65f9f6,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,read_zipf_full_034.txt,1,5,0,5,292,24.96,42.93,244,64,21,1.0,1.0
smoke,fdd780b3edcfcf43fecd27dc0b29f67c957c8a4f4e4ea379bcd20a35a9574f3f,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,read_zipf_full_046.txt,1,5,0,5,133,35.39,44.26,256,70,21,1.0,1.0
smoke,2aad9fc43029eaf5f7d069f0c4d339868155a60f1ce7a34eff521275a02cf2e5,completed,read_zipf_full,original,unlimited,false,,residency_topk_interior5_leaf0_i5_l0,pread,,5,0,read_zipf_full_027.txt,1,5,0,5,144,36.07,48.94,280,55,21,1.0,1.0
