strategy_key,metric,sample_count,mean,median,p25,p75,p99,min,max,baseline_mean,improvement_percent
residency_topk_interior5_leaf5_i5_l5,first_query_latency_us,5,364.65,387.46,373.15,390.88,408.77,262.99,408.77,428.092,15.107613035292738
residency_topk_interior5_leaf5_i5_l5,first_query_improvement_percent,5,15.107613035292738,9.642965415918477,9.213796307049126,13.891773393331036,34.89218428935706,7.897345770807989,34.89218428935706,428.092,15.107613035292738
residency_topk_interior5_leaf5_i5_l5,effective_first_query_latency_us,5,371.25,394.46,381.15,396.88,415.77,267.99,415.77,428.092,13.570187424034382
residency_topk_interior5_leaf5_i5_l5,effective_first_query_improvement_percent,5,13.570187424034382,8.010540798955255,7.820229938450822,12.045690550363457,33.65434605005817,6.320129782344195,33.65434605005817,428.092,13.570187424034382
residency_topk_interior5_leaf5_i5_l5,average_latency_us,5,62.882000000000005,50.42,45.99,51.56,121.97,44.47,121.97,52.965999999999994,-13.640507096150756
residency_topk_interior5_leaf5_i5_l5,average_improvement_percent,5,-13.640507096150756,-1.7163148550009955,-2.354851806739756,1.2454369765943705,3.5567122099327704,-68.93351800554017,3.5567122099327704,52.965999999999994,-13.640507096150756
residency_topk_interior5_leaf5_i5_l5,major_page_faults,5,262.4,264.0,252.0,274.0,281.0,241.0,281.0,262.4,
residency_topk_interior5_leaf5_i5_l5,minor_page_faults,5,108.6,109.0,103.0,111.0,118.0,102.0,118.0,107.0,
residency_topk_interior5_leaf5_i5_l5,resident_after_cold_pages,5,18.0,18.0,18.0,18.0,18.0,18.0,18.0,16.0,
residency_topk_interior5_leaf5_i5_l5,requested_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
residency_topk_interior5_leaf5_i5_l5,successful_selected_resident_ratio,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
